ECNS system logs created 07/01/2012
2012-09-07 14:17:43 gandavaa.d logged out 
2012-09-07 14:17:48 testee logged in 
2012-09-07 14:24:43 gandavaa.d logged in 
2012-09-07 14:47:09 testee logged out 
2012-09-07 14:47:14 testee logged in 
2012-09-07 14:47:18 testee logged out 
2012-09-07 14:47:21 gandavaa.d logged in 
2012-09-07 14:48:24 gandavaa.d logged out 
2012-09-07 14:48:37 testee logged in 
2012-09-07 14:48:48 testee logged out 
2012-09-07 14:50:28 testee logged in 
2012-09-07 14:50:33 testee logged out 
2012-09-07 14:50:35 gandavaa.d logged in 
2012-09-07 14:51:06 gandavaa.d logged out 
2012-09-07 14:51:11 testee logged in 
2012-09-07 14:57:26 testee logged out 
2012-09-07 15:07:11  logged out 
2012-09-07 15:08:38 gandavaa.d logged in 
2012-09-07 15:08:42 gandavaa.d logged out 
2012-09-07 15:23:30 gandavaa.d logged in 
2012-09-07 15:27:06 gandavaa.d logged out 
2012-09-10 08:40:53 gandavaa.d logged in 
2012-09-11 14:24:41 gandavaa.d logged in 
2012-09-12 10:31:38 gandavaa.d logged in 
2012-09-12 13:32:23 gandavaa.d logged in 
2012-09-13 11:43:05 gandavaa.d logged in 
2012-09-13 15:59:56 gandavaa.d logged out 
2012-09-13 16:00:00 gandavaa.d logged in 
2012-09-13 16:00:02 gandavaa.d logged out 
2012-09-13 16:01:40 gandavaa.d logged in 
2012-09-13 16:12:55 gandavaa.d logged out 
2012-09-13 16:12:59 gandavaa.d logged in 
2012-09-13 16:35:36 gandavaa.d logged out 
2012-09-13 16:35:38 gandavaa.d logged in 
2012-09-13 16:37:16 gandavaa.d logged out 
2012-09-13 16:37:19 gandavaa.d logged in 
2012-09-13 16:50:57 gandavaa.d logged out 
2012-09-13 16:51:00 gandavaa.d logged in 
2012-09-13 16:51:11 gandavaa.d logged out 
2012-09-13 16:56:25 gandavaa.d logged in 
2012-09-13 17:01:01 gandavaa.d logged out 
2012-09-13 17:01:11 gandavaa.d logged in 
2012-09-13 17:25:29 gandavaa.d logged out 
2012-09-13 17:25:35 gandavaa.d logged in 
2012-09-14 08:55:03 gandavaa.d logged in 
2012-09-14 08:55:05 gandavaa.d logged out 
2012-09-14 08:55:11 gandavaa.d logged in 
2012-09-14 09:05:31 gandavaa.d logged out 
2012-09-14 09:05:49 gandavaa.d logged in 
2012-09-14 09:07:42 gandavaa.d logged out 
2012-09-14 09:07:44 gandavaa.d logged in 
2012-09-14 09:08:00 gandavaa.d logged out 
2012-09-14 09:08:27 gandavaa.d logged in 
2012-09-14 09:09:02 gandavaa.d logged out 
2012-09-14 09:09:05 gandavaa.d logged in 
2012-09-14 09:09:52 gandavaa.d logged out 
2012-09-14 09:09:53  logged out 
2012-09-14 09:11:15  logged out 
2012-09-14 09:12:04 gandavaa.d logged in 
2012-09-14 09:12:34 gandavaa.d logged out 
2012-09-14 09:12:37 gandavaa.d logged in 
2012-09-14 09:14:09 gandavaa.d logged out 
2012-09-14 09:14:38  logged out 
2012-09-14 09:14:42 gandavaa.d logged in 
2012-09-14 09:24:38 gandavaa.d logged out 
2012-09-14 09:24:42 gandavaa.d logged in 
2012-09-14 10:59:12 gandavaa.d logged in 
2012-09-14 15:08:39 gandavaa.d logged out 
2012-09-14 15:08:42 gandavaa.d logged in 
2012-09-14 15:12:48 gandavaa.d logged out 
2012-09-14 15:12:52 gandavaa.d logged in 
2012-09-14 16:18:10 gandavaa.d logged out 
2012-09-14 16:18:13 gandavaa.d logged in 
2012-09-14 16:18:25 gandavaa.d logged out 
2012-09-14 16:18:28 gandavaa.d logged in 
2012-09-14 16:22:55 gandavaa.d logged out 
2012-09-14 16:22:58 gandavaa.d logged in 
2012-09-14 16:26:50 gandavaa.d logged out 
2012-09-14 16:26:52 gandavaa.d logged in 
2012-09-14 16:27:50 gandavaa.d logged out 
2012-09-14 16:27:54 gandavaa.d logged in 
2012-09-14 16:30:44 gandavaa.d logged out 
2012-09-14 16:30:47 gandavaa.d logged in 
2012-09-14 16:32:47 gandavaa.d logged out 
2012-09-14 16:32:50 gandavaa.d logged in 
2012-09-14 16:34:40 gandavaa.d logged out 
2012-09-14 16:34:42 gandavaa.d logged in 
2012-09-14 16:35:44 gandavaa.d logged out 
2012-09-14 16:37:03  logged out 
2012-09-14 16:37:06 gandavaa.d logged in 
2012-09-14 16:38:47 gandavaa.d logged out 
2012-09-14 16:38:50 gandavaa.d logged in 
2012-09-14 16:43:55 gandavaa.d logged out 
2012-09-14 16:43:58  logged in 
2012-09-14 16:46:22  logged out 
2012-09-14 16:46:25  logged in 
2012-09-17 08:27:38  logged in 
